"RequestID","Status","Address","Latitude","Longitude","DateCreated","DateClosed","Description","ParticipantPropertyType","AdditionalInformation","InvestmentByCity","CostToPropertyOwner","WorkOrderNumber"
437053,"received","46 Craven Street",35.585858,-82.571773,"Wed Aug 06 2014","Wed Dec 31 1969","PINNUM:\t963887218800000\nOWNER:\tWIGGINS WANDA & WINGERTER JOEL","0: Pending",,,,
437001,"received","295 Haywood Road",35.577896,-82.575362,"Wed Aug 06 2014","Wed Dec 31 1969","GRAFFITI ON A WOODEN FENCE\nPINNUM:\t963874140000000\nOWNER:\tHIGHLAND PARTNERS LLC 285 Haywood Rd Asheville NC 28806\nunable to locate a phone #\n","0: Pending",,,,
436997,"received","405 Haywood Road",35.578103,-82.580024,"Wed Aug 06 2014","Wed Dec 31 1969","GRAFFITI ALL OVER THE BLDG\nPINNUM:\t963854659100000\nOWNER:\tAGBALA JULIAN ","0: Pending",,,,
436994,"received","290 Haywood Road",35.577494,-82.575512,"Wed Aug 06 2014","Wed Dec 31 1969","ON THE WELLINGTON ST SIDE OF THE BUILDING\nPINNUM:\t963874023500000\nOWNER:\tA & E SALES & SERVICES LLC ","0: Pending",,,,
436527,"received","456 Swannanoa River Road",35.578479,-82.512878,"Wed Aug 06 2014","Wed Dec 31 1969","PINNUM:\t965854606000000\nOWNER:\tSWANNANOA RIVER RD LLC ","0: Pending",,,,
436474,"received","146 Roberts Street, Asheville, NC 28801, USA",35.585719,-82.564943,"Wed Aug 06 2014","Wed Dec 31 1969","\nOWNER:\tROBERTS STREET LLC\n\nPINNUM:\t964807218300000","0: Pending","Please provide price to paint over the Graffiti as part of the clean up plan. I will then decide how best to proceed. This is the Old Dave Steel Co.  property",,,
435289,"received","506 Merrimon Avenue",35.616079,-82.55484,"Tue Aug 05 2014","Wed Dec 31 1969","graffiti on side of building\n\n\nPIN- \t9649386076\n\nOwners:\tJOHNSON, ROBERT G & MCHUGH, MAGARET J \nRoberts possible number- 828-505-4869  828-296-0052 \nRoberts possible address-  498 Merrimon Ave Asheville, NC 28804-3424 ","0: Pending",,,,
434025,"completed","99 Broadway",35.598509,-82.553553,"Mon Aug 04 2014","Wed Aug 06 2014","Owner called in reference graffiti on their bldg at 99 Broadway St\nHEMBREE JAMES & HEMBREE JEAN J \n\nPINNUM:\t964931867600000","3: Private Property",,"400",,"*35185"
433105,"received","150 Tunnel Road",35.590057,-82.529654,"Fri Aug 01 2014","Wed Dec 31 1969","Spray paint graffiti on empty Blockbuster video store window.  \nOwner:  Lerner Harry et al (UI). C/O PO BOX 8905 ASHEVILLE NC 28814\n\n PINNUM:  965808832200000 ","0: Pending","Spray paint graffiti on empty Blockbuster video store window.  Owner:  Lerner Harry et al (UI).  PINNUM:  965808832200000  C/O PO BOX 8905 ASHEVILLE NC 28814",,,
432719,"received","167 Patton Avenue, Asheville, NC 28801, USA",35.593829,-82.559021,"Fri Aug 01 2014","Wed Dec 31 1969","PINNUM:\t964920105100000\nOWNER:\tALMACK CORPORATION ","0: Pending","sims' futon gallery (intersection of Patton & French Broad)",,,
432449,"received","37 North Lexington Avenue",35.596028,-82.553184,"Fri Aug 01 2014","Wed Dec 31 1969","Graffti on the Rankin Ave side of the bldg\n\nPIN----------------- 964930878100000","0: Pending",,,,
432110,"received","39 North Lexington Avenue",35.59612,-82.553419,"Thu Jul 31 2014","Wed Dec 31 1969","PIN 9649308769","0: Pending",,,,
